,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
17,A,2017-05-24,58.5,59.34,58.0725,59.23,4060146.0,0.0,1.0,58.2504373673,59.0868539039,57.8247610942,58.9773231669,4060146.0
18,A,2017-05-25,59.53,59.7,58.92,59.3,2772186.0,0.0,1.0,59.2760433586,59.4453181338,58.6686456356,59.047024545,2772186.0
19,A,2017-05-26,59.23,59.72,59.041,59.51,1534396.0,0.0,1.0,58.9773231669,59.4652328133,58.7891294462,59.2561286791,1534396.0
20,A,2017-05-30,59.54,60.48,59.41,60.37,2573871.0,0.0,1.0,59.2860006983,60.221990632,59.1565552819,60.1124598951,2573871.0
21,A,2017-05-31,59.45,60.81,59.45,60.34,2519987.0,0.0,1.0,59.1963846408,60.5505828428,59.1963846408,60.082587876,2519987.0
22,AA,2017-05-01,33.95,34.13,32.9,33.28,4984140.0,0.0,1.0,33.95,34.13,32.9,33.28,4984140.0
23,AA,2017-05-02,33.31,34.33,33.3,33.33,3882041.0,0.0,1.0,33.31,34.33,33.3,33.33,3882041.0
24,AA,2017-05-03,32.9,32.9,31.51,31.69,7328528.0,0.0,1.0,32.9,32.9,31.51,31.69,7328528.0
25,AA,2017-05-04,31.22,31.36,30.42,31.04,7900198.0,0.0,1.0,31.22,31.36,30.42,31.04,7900198.0
26,AA,2017-05-05,31.35,31.96,31.05,31.82,4031041.0,0.0,1.0,31.35,31.96,31.05,31.82,4031041.0
27,AA,2017-05-08,31.37,31.37,30.66,31.02,3780789.0,0.0,1.0,31.37,31.37,30.66,31.02,3780789.0
28,AA,2017-05-09,31.22,31.24,30.46,30.82,3413988.0,0.0,1.0,31.22,31.24,30.46,30.82,3413988.0
29,AA,2017-05-10,30.95,31.46,30.7,31.08,3486451.0,0.0,1.0,30.95,31.46,30.7,31.08,3486451.0
30,AA,2017-05-11,31.23,31.31,30.45,31.16,4109259.0,0.0,1.0,31.23,31.31,30.45,31.16,4109259.0
31,AA,2017-05-12,31.0,32.13,30.96,31.79,3379716.0,0.0,1.0,31.0,32.13,30.96,31.79,3379716.0
32,AA,2017-05-15,32.17,32.5,31.97,32.03,2383950.0,0.0,1.0,32.17,32.5,31.97,32.03,2383950.0
33,AA,2017-05-16,32.1,32.4,31.75,32.16,2993409.0,0.0,1.0,32.1,32.4,31.75,32.16,2993409.0
34,AA,2017-05-17,31.88,32.22,31.58,31.63,3707349.0,0.0,1.0,31.88,32.22,31.58,31.63,3707349.0
35,AA,2017-05-18,31.45,32.17,31.1,31.92,2394271.0,0.0,1.0,31.45,32.17,31.1,31.92,2394271.0
36,AA,2017-05-19,32.16,32.88,32.1,32.29,2606084.0,0.0,1.0,32.16,32.88,32.1,32.29,2606084.0
37,AA,2017-05-22,32.65,33.2,32.47,32.96,3402047.0,0.0,1.0,32.65,33.2,32.47,32.96,3402047.0
38,AA,2017-05-23,32.98,33.36,32.56,33.26,2949100.0,0.0,1.0,32.98,33.36,32.56,33.26,2949100.0
39,AA,2017-05-24,33.27,33.92,33.045,33.51,3338172.0,0.0,1.0,33.27,33.92,33.045,33.51,3338172.0
40,AA,2017-05-25,33.68,34.09,33.03,33.09,2321565.0,0.0,1.0,33.68,34.09,33.03,33.09,2321565.0
41,AA,2017-05-26,32.87,33.36,32.87,33.27,2369666.0,0.0,1.0,32.87,33.36,32.87,33.27,2369666.0
42,AA,2017-05-30,33.03,33.16,32.53,32.99,3215090.0,0.0,1.0,33.03,33.16,32.53,32.99,3215090.0
43,AA,2017-05-31,32.88,33.05,31.76,32.94,4491991.0,0.0,1.0,32.88,33.05,31.76,32.94,4491991.0
44,AAL,2017-05-01,42.76,42.96,42.01,42.08,8565716.0,0.0,1.0,42.5792000562,42.7783544063,41.8323712433,41.9020752658,8565716.0
45,AAL,2017-05-02,42.06,43.91,42.05,43.87,9299545.0,0.0,1.0,41.8821598308,43.7243375694,41.8722021133,43.6845066994,9299545.0
